Gebietsnummer,Gebietsname,AfD_Stimme1,AfD_Stimme2,CDU_Stimme1,CDU_Stimme2,CSU_Stimme1,CSU_Stimme2,DIE LINKE_Stimme1,DIE LINKE_Stimme2,FDP_Stimme1,FDP_Stimme2,GRÜNE_Stimme1,GRÜNE_Stimme2,SPD_Stimme1,SPD_Stimme2,Sonstige_Stimme1,Sonstige_Stimme2
1,Flensburg – Schleswig,5.5,5.8,23.4,20.4,,,3.7,4.2,6.9,10.7,28.1,18.6,21.8,25.5,10.7,14.8
2,Nordfriesland – Dithmarschen Nord,5.7,6.1,30.4,24.6,,,2.8,3.1,9.7,12.7,14.3,15.7,27.8,26.3,9.3,11.5
3,Steinburg – Dithmarschen Süd,7.7,8.4,29.2,24.3,,,3.2,3.3,14.3,13.7,12.4,14.2,29.2,27.7,4.0,8.3
4,Rendsburg-Eckernförde,6.3,6.6,29.7,23.9,,,2.7,3.2,8.0,12.0,14.8,17.9,30.8,26.8,7.6,9.6
5,Kiel,4.6,4.9,18.4,15.4,,,4.7,6.1,7.4,10.4,28.1,28.4,29.5,26.0,7.3,8.7
6,Plön – Neumünster,7.1,7.4,27.9,22.9,,,2.8,3.2,9.4,12.0,15.7,17.4,31.4,29.2,5.5,8.0
7,Pinneberg,6.4,6.9,26.2,22.1,,,3.0,3.3,10.9,13.5,16.9,18.0,31.2,29.3,5.5,6.9
8,Segeberg – Stormarn-Mitte,7.1,7.3,27.9,22.3,,,3.1,3.3,10.4,14.0,13.7,16.8,32.0,28.6,5.7,7.7
9,Ostholstein – Stormarn-Nord,6.8,7.1,30.3,25.1,,,2.9,2.8,9.4,12.7,13.4,15.7,33.7,30.0,3.3,6.7
10,Herzogtum Lauenburg – Stormarn-Süd,7.2,7.5,26.6,23.2,,,2.6,3.2,10.5,14.2,17.4,16.6,31.0,28.8,4.7,6.4
11,Lübeck,6.6,6.8,21.8,18.1,,,3.1,4.4,7.5,10.5,21.4,22.4,34.1,30.5,5.4,7.2
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,16.5,15.7,20.7,17.1,,,11.7,10.8,7.7,8.6,7.9,8.1,29.4,32.0,6.2,7.8
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,17.2,17.1,18.2,17.1,,,10.4,10.4,7.2,8.1,5.7,7.0,35.2,32.5,4.4,7.8
14,Rostock – Landkreis Rostock II,12.2,12.7,17.0,14.2,,,18.2,13.2,7.5,9.1,10.2,12.8,27.0,29.0,8.0,9.0
15,Vorpommern-Rügen – Vorpommern-Greifswald I,19.9,18.9,20.4,18.6,,,13.7,11.4,6.6,8.3,7.3,8.8,24.3,25.1,7.7,8.9
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,24.3,23.2,20.7,19.0,,,10.8,10.2,7.4,7.6,4.1,4.4,24.8,26.7,7.6,8.9
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,21.6,20.9,21.3,18.8,,,10.3,10.3,7.0,7.5,5.4,5.1,31.1,29.9,3.3,7.6
18,Hamburg-Mitte,4.9,5.1,13.0,11.2,,,9.1,8.7,8.1,10.5,26.0,27.9,33.2,28.7,5.4,8.0
19,Hamburg-Altona,3.4,3.3,16.8,14.8,,,9.7,9.0,8.2,10.9,29.7,30.4,28.6,25.6,3.6,6.1
20,Hamburg-Eimsbüttel,3.4,3.5,17.2,14.9,,,7.1,6.8,8.1,11.3,29.8,29.9,29.6,28.0,4.8,5.6
21,Hamburg-Nord,3.4,3.7,23.8,18.6,,,4.9,4.7,8.6,14.2,25.7,25.2,30.7,27.9,2.8,5.6
22,Hamburg-Wandsbek,6.7,6.5,19.2,16.8,,,6.2,5.1,9.1,11.1,15.4,18.6,38.7,34.3,4.7,7.5
23,Hamburg-Bergedorf – Harburg,8.2,8.0,16.9,16.2,,,6.7,6.3,8.5,10.0,15.5,17.8,39.3,33.5,4.9,8.2
24,Aurich – Emden,,8.2,17.7,17.7,,,3.6,3.4,8.7,8.9,9.3,13.0,52.8,43.3,7.8,5.5
25,Unterems,7.8,8.2,44.4,29.9,,,2.5,2.7,6.2,10.1,9.5,10.7,28.5,34.0,1.1,4.5
26,Friesland – Wilhelmshaven – Wittmund,7.7,8.2,22.0,21.5,,,2.6,3.1,7.1,10.4,10.2,12.8,45.4,38.0,5.0,6.0
27,Oldenburg – Ammerland,5.0,5.2,19.9,18.6,,,5.9,4.8,7.5,10.2,20.4,23.7,38.2,32.0,3.2,5.4
28,Delmenhorst – Wesermarsch – Oldenburg-Land,7.4,8.0,24.9,22.6,,,3.0,3.1,10.7,11.5,13.1,14.8,36.7,34.3,4.2,5.7
29,Cuxhaven – Stade II,7.3,7.9,30.1,26.2,,,1.9,2.6,6.9,10.1,11.0,12.6,36.8,35.0,5.9,5.7
30,Stade I – Rotenburg II,7.1,7.3,34.6,26.5,,,2.9,2.9,8.0,11.1,13.2,14.6,31.7,32.0,2.5,5.6
31,Mittelems,5.0,5.1,40.5,33.8,,,2.2,2.2,9.7,11.8,12.6,12.5,29.2,30.9,0.8,3.6
32,Cloppenburg – Vechta,7.8,7.8,49.1,38.5,,,2.2,2.2,8.8,12.1,10.6,11.1,20.7,24.6,0.8,3.8
33,Diepholz – Nienburg I,6.7,7.1,33.8,25.3,,,2.8,2.7,9.4,12.1,13.5,14.5,31.9,33.0,1.5,5.3
34,Osterholz – Verden,,7.5,33.7,24.1,,,4.3,3.5,9.2,10.4,14.7,16.1,32.5,32.9,5.7,5.5
35,Rotenburg I – Heidekreis,7.4,8.0,26.4,25.1,,,2.4,2.8,5.9,10.1,8.1,13.6,47.6,34.8,2.2,5.7
36,Harburg,6.9,7.3,29.1,24.8,,,2.6,2.9,9.0,12.7,15.0,16.7,31.0,29.1,6.4,6.6
37,Lüchow-Dannenberg – Lüneburg,6.3,6.6,24.9,21.0,,,3.9,4.6,6.9,9.6,25.1,22.1,28.2,29.9,4.6,6.2
38,Osnabrück-Land,6.3,6.7,36.2,28.5,,,2.4,2.6,8.6,11.1,14.6,14.7,29.7,32.1,2.2,4.3
39,Stadt Osnabrück,4.5,4.6,29.2,23.2,,,4.7,4.2,6.8,9.8,23.0,23.3,30.3,30.2,1.4,4.6
40,Nienburg II – Schaumburg,8.3,8.8,30.9,24.0,,,2.2,2.7,6.2,10.0,12.8,14.1,35.3,34.9,4.2,5.5
