WK_ID	WKR_NAME	LAND_ABR	UnionShare	UnionLo	UnionHi	SPDShare	SPDLo	SPDHi	AfDShare	AfDLo	AfDHi	GreenShare	GreenLo	GreenHi	FDPShare	FDPLo	FDPHi	LinkeShare	LinkeLo	LinkeHi	BSWShare	BSWLo	BSWHi	FWShare	FWLo	FWHi	SonstigeShare	SonstigeLo	SonstigeHi	Winner25	Second25	Winner21	YouGovCall	ChangeFrom21
1	Flensburg – Schleswig	SH	24	20	28	18	14	23	15	12	19	24	20	28	3	2	5	5	3	8	0	0	0	1	1	2	9	6	12	Bündnis 90/Die Grünen	CDU/CSU	Bündnis 90/Die Grünen	Unentschieden	Wahlkreis verteidigt von Bündnis 90/Die Grünen
2	Nordfriesland – Dithmarschen Nord	SH	33	29	38	21	17	27	17	14	20	12	9	15	3	2	5	5	3	6	0	0	0	2	1	4	6	4	10	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
3	Steinburg – Dithmarschen Süd	SH	34	30	38	21	16	27	19	17	22	10	8	13	4	3	6	4	3	6	0	0	0	3	1	4	4	2	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
4	Rendsburg-Eckernförde	SH	32	29	37	25	21	31	15	12	18	12	9	15	3	2	4	4	3	6	0	0	0	1	1	2	7	4	10	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
5	Kiel	SH	22	18	25	21	16	26	14	12	17	26	22	30	4	2	5	8	6	11	0	0	0	1	1	1	5	3	7	Bündnis 90/Die Grünen	CDU/CSU	SPD	Unentschieden	Bündnis 90/Die Grünen Gewonnen von SPD
6	Plön – Neumünster	SH	32	29	36	24	19	28	17	15	19	13	10	15	3	2	4	5	4	7	0	0	0	2	1	2	4	3	6	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
7	Pinneberg	SH	33	30	37	22	18	27	15	13	17	14	12	16	3	2	5	5	4	7	0	0	0	2	1	2	5	3	7	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
8	Segeberg – Stormarn-Mitte	SH	34	31	38	24	20	28	16	14	18	12	10	15	3	2	5	5	3	7	0	0	0	2	1	2	4	3	5	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
9	Ostholstein – Stormarn-Nord	SH	32	29	37	29	25	34	15	13	17	10	8	12	3	2	4	5	4	7	0	0	0	2	1	3	3	2	5	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
10	Herzogtum Lauenburg – Stormarn-Süd	SH	35	32	39	21	17	25	15	13	17	14	13	17	4	2	5	5	4	7	0	0	0	2	1	2	3	2	5	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
