Wahlart,Wahltag,Gebietsart,Gebietsnummer,Gebietsname,UegGebietsart,UegGebietsnummer,Gruppenart,Gruppenname,Gruppenreihenfolge,Stimme,Anzahl,Prozent,VorpAnzahl,VorpProzent,DiffProzent,DiffProzentPkt,Bemerkung,,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,System-Gruppe,Wahlberechtigte,-4,,61172771,,61688485,,0,835997,,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.,,,
BT,26.09.2021,Bund,99,Bundesgebiet,,,System-Gruppe,Wählende,-3,,46707343,76,353159,46976341,76,150907,0,572624,0,202252,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,System-Gruppe,Ungültige,-2,1,488483,1,45838,586726,1,248982,-16,744272,0,203144,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,System-Gruppe,Ungültige,-2,2,408956,0,875571,460849,0,981024,-11,260304,0,105453,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,System-Gruppe,Gültige,-1,1,46218860,98,954162,46389615,98,751018,0,368089,0,203144,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,System-Gruppe,Gültige,-1,2,46298387,99,124429,46515492,99,18976,0,466737,0,105453,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,CDU,1,1,10445920,22,60099,14030751,30,245457,-25,549816,-7,644467,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,CDU,1,2,8774920,18,952971,12447656,26,760237,-29,505443,-7,807266,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,SPD,2,1,12184096,26,361741,11429231,24,637478,6,604688,1,724263,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,SPD,2,2,11901558,25,706204,9539381,20,507965,24,762372,5,198239,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,AfD,3,1,4699926,10,168849,5317499,11,462693,-11,613975,-1,293844,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,AfD,3,2,4809233,10,387474,5878115,12,636897,-18,184095,-2,249423,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,FDP,4,1,4019565,8,696807,3249238,7,4236,23,707928,1,692571,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,FDP,4,2,5291013,11,428072,4999449,10,747922,5,831923,0,68015,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
BT,26.09.2021,Bund,99,Bundesgebiet,,,Partei,DIE LINKE,5,1,2286070,4,946184,3966637,8,5507,-42,367552,-3,604516,Ergebnis der Wiederholungswahl in Teilen Berlins am 11.02.2024.
