Direktmandat 2021,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,Erst,ZWEIT,DRITT,viert,fünft,sechs,,,,,Wahlkreis,ID,Election District,Tendenz aktuell
"Robert Habeck, GRÜNE",4,60,31,0,2,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,1 Flensburg – Schleswig,1,Flensburg – Schleswig,Eher sicher für CDU/CSU
"Astrid Damerow, CDU",10,80,4,1,2,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,2 Nordfriesland – Dithmarschen Nord,2,Nordfriesland – Dithmarschen Nord,Sicher für CDU/CSU
"Mark Helfrich, CDU",11,78,4,1,2,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,3 Steinburg – Dithmarschen Süd,3,Steinburg – Dithmarschen Süd,Sicher für CDU/CSU
"Sönke Rix, SPD",18,72,3,1,3,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,4 Rendsburg-Eckernförde,4,Rendsburg-Eckernförde,Sicher für CDU/CSU
"Jens Mathias Stein, SPD",20,50,23,1,2,1,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,5 Kiel,5,Kiel,Eher unsicher für CDU/CSU
"Kristian Klinck, SPD",19,71,4,0,2,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,6 Plön – Neumünster,6,Plön – Neumünster,Sicher für CDU/CSU
"Ralf Stegner, SPD",20,69,4,1,2,1,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,7 Pinneberg,7,Pinneberg,Sicher für CDU/CSU
"Bengt Axel Bergt, SPD",19,72,3,1,2,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,8 Segeberg – Stormarn-Mitte,8,Segeberg – Stormarn-Mitte,Sicher für CDU/CSU
"Bettina Hagedorn, SPD",21,69,3,0,3,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,9 Ostholstein – Stormarn-Nord,9,Ostholstein – Stormarn-Nord,Sicher für CDU/CSU
"Nina Scheer, SPD",19,69,5,1,3,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,10 Herzogtum Lauenburg – Stormarn-Süd,10,Herzogtum Lauenburg – Stormarn-Süd,Sicher für CDU/CSU
"Tim Klüssendorf, SPD",28,58,7,0,2,0,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,11 Lübeck,11,Lübeck,Eher sicher für CDU/CSU
"Reem Alabali-Radovan, SPD",12,54,1,0,25,2,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,12 Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Eher unsicher für CDU/CSU
"Frank Michael Junge, SPD",17,21,1,0,53,1,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,13 Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Too-close-to-call für CDU/CSU
"Katrin Zschau, SPD",12,44,2,1,8,2,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,14 Rostock – Landkreis Rostock II,14,Rostock – Landkreis Rostock II,Eher sicher für CDU/CSU
"Anna Katharina Kassautzki, SPD",9,23,2,0,57,1,SPD,CDU I CSU,GRÜNE,FDP,AFD,LINKE,,,,,15 Vorpommern-Rügen – Vorpommern-Greifswald I,15,Vorpommern-Rügen – Vorpommern-Greifswald I,Too-close-to-call für CDU/CSU
